"file","leg","behind_end_max","p2p_end_max","src_behind_end","src_p2p_end","src_dec_fps","sources","generated"
"3_1080p_H264_MP4\Universe_rc07_I_9x16_Online.mp4","2","4","161","0","130.3","287.5","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"3_1080p_H264_MP4\Universe_rc07_I_9x16_Online.mp4","3","4","31","0","0.8","69.7","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"3_1080p_H264_MP4\Universe_rc07_I_9x16_Online.mp4","4","4","38","0","7.9","275.6","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"4_4K_H264_MP4\Splash_1.mp4","1","4","34","0","3.9","78.3","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"4_4K_H264_MP4\Splash_1.mp4","2","4","45","0","14.7","156.8","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"4_4K_H264_MP4\Splash_1.mp4","3","4","48","0","5.1","47.1","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"4_4K_H264_MP4\Splash_1.mp4","4","4","38","0","7.4","71.7","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"7_4k_H264_60FPS_MP4\Jeep_Snowboard_Drone_60FPS.mp4","1","4","38","0","7.5","105.7","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"7_4k_H264_60FPS_MP4\Jeep_Snowboard_Drone_60FPS.mp4","2","4","191","0","160.4","144","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"7_4k_H264_60FPS_MP4\Jeep_Snowboard_Drone_60FPS.mp4","3","4","37","0","5","62.9","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"7_4k_H264_60FPS_MP4\Jeep_Snowboard_Drone_60FPS.mp4","4","4","38","0","7.7","113.9","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"9_1x1_ProRes\FY27_CX_BEER_NA_Summer_Bottomless-Cooler-Lago_PLC_PLC_OM_SP_BAU_1x1_15_product-locator_CBCX0000442H.mov","1","4","33","0","2.6","174.3","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"9_1x1_ProRes\FY27_CX_BEER_NA_Summer_Bottomless-Cooler-Lago_PLC_PLC_OM_SP_BAU_1x1_15_product-locator_CBCX0000442H.mov","2","4","39","0","8.6","188.3","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"9_1x1_ProRes\FY27_CX_BEER_NA_Summer_Bottomless-Cooler-Lago_PLC_PLC_OM_SP_BAU_1x1_15_product-locator_CBCX0000442H.mov","3","4","32","0","1.3","70.9","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"9_1x1_ProRes\FY27_CX_BEER_NA_Summer_Bottomless-Cooler-Lago_PLC_PLC_OM_SP_BAU_1x1_15_product-locator_CBCX0000442H.mov","4","4","36","0","5.8","170.4","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
